Clase_0,Clase_1,Clase_2,Clase_3,Clase_4,Clase_5,Clase_6,Clase_7,Clase_8,Clase_9,Clase_10,Clase_11,Clase_12,Clase_13,Clase_14,Clase_15,Clase_16,Clase_17,Clase_18,Clase_19,Clase_20,Clase_21,Clase_22,Clase_23,Clase_24,Clase_25,Clase_26,Clase_27,Clase_28,Clase_29,Clase_30,Clase_31,Clase_32,Clase_33,Clase_34,Clase_35,Clase_36,Clase_37,Clase_38,Clase_39,Clase_40,Clase_41,Clase_42,Clase_43,Clase_44,Clase_45,Clase_46,Clase_47,Clase_48
0.41400653,0.0017283411,2.8847537e-05,0.0028537735,0.0004095097,0.013485787,0.0007088557,0.007694871,0.00042487352,0.007837842,0.005346829,0.060131904,0.00212554,0.00038262294,0.00351613,0.01961175,0.002459581,0.0008054775,0.00052997936,0.003226516,6.80809e-05,0.0011738542,0.008373233,0.0012089112,0.0074789193,0.0062468657,1.6836717e-05,0.0026223422,0.00020155717,0.0017507792,0.00022109791,0.03281417,1.6130141e-05,0.15757345,0.052737504,0.0013434223,0.00015469259,0.00037376964,0.00013593353,0.0016628,0.009550017,0.012510018,0.11963569,8.256635e-05,0.005988167,0.022918012,0.0041946257,0.0013836846,0.00024712004
0.0972582,0.0007509301,0.0009832782,0.020178758,0.0007797685,0.008821856,0.0010297578,0.009778903,0.016365862,0.021026893,0.0009823367,0.009750607,0.061341576,0.009336484,0.20446981,0.002861347,0.03128563,0.0020770973,0.013518389,0.020911062,0.0060640234,0.0013203621,0.0041687717,0.0002900087,0.0020073254,0.065043025,0.0001332934,0.00053769886,0.0034366401,0.025488399,0.0002787396,0.116064616,0.0006423481,0.030553812,0.075746804,0.007864515,0.0007434935,0.000413505,0.0042270655,0.019075952,0.0060062297,0.007049833,0.03003079,0.0013224458,0.016249873,0.021988792,0.01030821,0.0052672573,0.0041675386
0.028362706,0.0008739766,0.01848764,0.0016058212,0.0002266418,0.009141808,0.0002430642,0.024225887,0.00069573114,0.15721284,0.006748738,0.17773321,0.034727152,0.00020080614,0.010842079,0.006070705,0.0017095533,0.026316455,0.03412399,0.009585688,0.00040207466,0.0039165444,0.0021713742,0.00011761622,0.06565165,0.056058418,0.00022369031,0.0018879839,0.0042881207,0.017358394,0.0007316485,0.072554536,0.00022558411,0.0027330036,0.0013359726,0.00085166545,0.002105393,0.0023565716,0.019547839,0.005932873,0.00797823,0.0009177777,0.13558948,0.00035880058,0.019760003,0.0020373596,0.0012510079,0.021203473,0.0013183892
0.19860397,0.00066478585,2.0267698e-06,9.001056e-05,0.007485717,0.0014947364,6.86067e-07,0.0011120955,2.0190118e-05,0.00017011513,3.0169811e-05,0.000119855606,1.2750759e-05,4.850249e-07,0.0008037959,0.0002956942,4.6915657e-06,0.015869752,4.7252247e-06,1.6158202e-06,2.5765412e-06,0.0014545872,0.32622373,0.0005950887,0.19637443,0.0471967,3.7178397e-05,0.0037468476,0.00048704073,0.0007049299,3.8786082e-05,0.004878696,1.5120393e-06,0.055596348,6.6932415e-07,0.0029151037,0.00021996173,3.3296763e-07,5.3509044e-08,3.6110478e-06,1.550441e-05,0.07873744,0.012895737,0.0001354404,0.031680487,0.007853445,1.7730648e-06,0.001414001,1.1313613e-07
0.29219946,0.012025283,0.0001569231,0.0013510862,0.0049518812,0.006946668,0.0039744885,0.0022851073,0.039317034,0.057171352,0.028187018,0.0007720999,0.011370418,0.010346967,0.0060655833,0.056815304,0.037536733,0.0076480377,0.0014161248,0.0025858406,0.051802438,0.008706138,0.020081416,0.027443644,0.011979659,0.019599518,0.011788066,0.0008765473,0.0009979325,0.037823137,0.0018567395,0.018616686,0.00881677,0.030608596,0.011511898,0.008313157,0.0027998253,0.0008547108,0.0009044608,0.015969554,0.046358634,0.014310368,0.013339642,0.012827347,0.0225984,0.0100593185,0.0024217407,0.00038674212,0.0032234276
0.9255187,0.00018862005,1.2098767e-06,3.5976163e-06,7.703058e-06,0.00025274788,9.203471e-06,9.640441e-07,2.8346984e-05,0.004183601,0.00805728,4.4200173e-05,8.4233754e-05,3.5829158e-05,0.005203536,0.00016435141,0.000116540825,0.0071452814,0.0003432425,6.7198256e-05,0.0004311275,0.0011640976,3.0620246e-05,1.0568741e-05,0.012911488,5.2928033e-05,0.00029478912,8.1112985e-06,7.558629e-06,0.0031600946,0.0006058191,0.0004220491,3.4273087e-06,0.00913735,4.604679e-06,0.001963145,0.00024588028,4.281297e-06,9.120012e-08,0.0002280188,0.00015205386,2.3436352e-05,0.013763726,7.799172e-05,0.0030926606,0.00070304435,4.2402957e-05,6.0576156e-08,2.1903127e-06
0.43419355,0.000323642,3.4793945e-06,0.0015226552,0.0002631256,0.0126143815,8.602305e-05,0.0016090707,0.001164557,0.017159434,0.002560086,0.043532513,0.0030313355,0.0019373026,0.004548118,0.014575748,0.0007434586,0.00033248492,0.00032424365,0.0037917544,0.00023870898,0.0008758541,0.005928776,0.00014363212,0.0010595749,0.013146269,9.648068e-06,0.000195335,1.7818653e-05,0.019538587,0.0053375605,0.024977356,7.087565e-05,0.09400792,0.13647872,0.0027237176,0.0006721641,0.0013333827,3.870432e-05,0.00048582008,0.10620478,0.0008522572,0.0024556583,0.00016444064,0.025788287,0.008272344,0.0036258323,0.00037583144,0.00066330127
0.48025048,0.0029149156,7.6285287e-06,0.008217022,0.0011003558,0.0065758745,0.0012016376,0.00037052738,0.00012109657,0.0011525383,0.0018349951,0.027757652,0.00032372633,0.0001894782,0.008265908,0.0038311349,0.0003743625,0.0018944958,0.00033607794,0.003119768,6.716388e-05,0.012514385,0.0044985176,0.0008827776,0.008241142,0.0008901617,0.00019456544,0.007828714,0.00022669086,0.0026020256,0.00511232,0.014401806,1.540281e-05,0.25048548,0.0057990532,0.003642526,0.000617022,0.00087338075,4.789393e-06,0.00016219237,0.0013195795,0.00942502,0.03781427,0.00011733344,0.006421814,0.05857694,0.017112156,0.00026075167,5.241539e-05
0.26878694,0.0011550903,2.1419148e-06,0.00034439354,0.0004885026,0.002398965,0.00021043484,0.00028965384,1.9353874e-06,0.00053359545,0.0055020396,0.014067078,7.739605e-05,4.3810514e-06,0.0028892758,0.014832691,1.0003769e-05,6.695662e-05,4.136535e-06,6.8848003e-06,4.2155054e-05,0.1444973,0.0039881966,0.0005699221,0.0016810521,0.00016852994,3.928204e-05,0.1180405,5.3662545e-05,0.00046842167,0.01021875,0.04817721,5.626833e-07,0.028363863,0.0002982026,0.033047713,0.0023604438,0.0002666067,5.541298e-07,1.4809553e-06,0.0005941214,0.0071524,0.021105569,2.7989934e-05,0.021706395,0.24392882,0.0010350905,0.00043831836,5.4425484e-05
0.93204993,3.422002e-05,2.1823752e-07,0.000102998245,6.302981e-05,0.00014907087,1.118625e-06,1.1640921e-05,0.00010342651,0.0032667082,0.00027397185,0.0003384001,0.00096309325,1.6240168e-05,0.02418572,0.00030654785,0.00026182696,8.4012616e-05,0.00015145609,0.00010262771,4.4228833e-05,0.0006093619,5.6802426e-05,2.0824487e-07,0.0009579507,0.0029405633,1.8407444e-06,8.997809e-06,4.3558452e-07,0.0037354436,1.8742621e-05,0.013428188,2.317374e-06,0.008294054,7.141273e-05,0.00047039075,9.556731e-06,1.1310693e-05,5.6253367e-07,7.5520875e-05,0.00012010976,0.00012223881,0.003981436,2.8221544e-05,0.001572457,0.000565683,0.00038660917,1.8241906e-05,7.8835365e-07
